City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Nchelenge,ZM,77.2,light rain,-9.3451,28.734,KD Travellers Home
6,Kapaa,US,70.12,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Butaritari,KI,81.37,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
12,Atuona,PF,79.2,broken clouds,-9.8,-139.0333,Villa Enata
13,Finschhafen,PG,80.51,overcast clouds,-6.6024,147.8681,Cossam Guest House
15,Mumbwa,ZM,78.48,scattered clouds,-14.9783,27.0619,Mumbwa Motel
18,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
21,Rikitea,PF,77.9,clear sky,-23.1203,-134.9692,People ThankYou
22,Pimenta Bueno,BR,79.14,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
23,Inhambane,MZ,76.98,scattered clouds,-23.865,35.3833,Oceano
26,Los Cedrales,PY,70.09,scattered clouds,-25.65,-54.7,Piro'y Eco Turismo
33,Saint-Philippe,RE,82.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Arraial Do Cabo,BR,76.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
38,Yulara,AU,73.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
44,Kahului,US,73.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
51,Puerto Ayora,EC,76.57,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Bengkulu,ID,80.01,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
56,Tamiahua,MX,78.31,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
61,Chuy,UY,70.07,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
63,Kipushi,CD,72.54,light rain,-11.7667,27.2333,Villa Madimba
64,Balabac,PH,81.46,broken clouds,7.9868,117.0645,Batalla’s Lodging House
65,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
71,Cape Town,ZA,80.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
73,Barcelona,ES,79.72,few clouds,41.3888,2.159,Axel Hotel Barcelona
75,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
86,Saint-Joseph,RE,81.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
88,Faya,SA,71.71,light rain,18.3851,42.4509,املاك خالد الشعشوع
92,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
94,Golden Gate,US,80.02,broken clouds,26.1879,-81.6951,Quality Inn & Suites Golf Resort
107,Hermanus,ZA,73.8,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
116,Hargeysa,SO,73.98,moderate rain,9.56,44.065,City Center Hotel
119,Tabou,CI,77.45,light rain,4.423,-7.3528,hotêl doufoulougou
120,Zhuhai,CN,71.38,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
121,Loralai,PK,81.27,scattered clouds,30.3705,68.598,Saddam Hotel & Resturant
123,Santa Rosa,PH,82.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
127,Ambilobe,MG,81.41,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
129,Kendari,ID,75.85,overcast clouds,-3.945,122.4989,Hotel Wixel
132,Cedral,MX,71.42,overcast clouds,23.8,-100.7333,Hotel Rocio
133,Kirakira,SB,79.61,light rain,-10.4544,161.9205,SanBiz Lodge
135,Dovers,VC,79.47,broken clouds,12.8833,-61.1833,Ocean Breeze
145,Namibe,AO,78.42,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
146,Catamarca,AR,71.78,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
147,Port Elizabeth,ZA,70.32,overcast clouds,-33.918,25.5701,39 On Nile Guest House
153,Victoria,HK,72.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
155,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
156,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
157,Damietta,EG,82.8,few clouds,31.4165,31.8133,SULIMAN INN
159,San Patricio,US,78.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
163,Ilhabela,BR,71.62,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
168,Abha,SA,70.88,light rain,18.2164,42.5053,Abha Hotel
169,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
171,Dingle,PH,77.32,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
181,Jacareacanga,BR,79.79,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
191,Hilo,US,72.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
192,Alice Springs,AU,81.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
195,Tiarei,PF,78.01,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
198,Bontang,ID,81.46,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
199,Alyangula,AU,79.36,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
201,Nouakchott,MR,75.13,broken clouds,18.0858,-15.9785,HOTEL IMAN
213,Sechura,PE,71.22,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
215,Cabo San Lucas,MX,75.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
217,Alta Floresta,BR,74.62,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
218,Auki,SB,77.02,overcast clouds,-8.7676,160.7034,Auki Motel
222,Kimbe,PG,76.51,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
223,Port Keats,AU,81.0,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
229,Talara,PE,74.16,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
232,Harper,LR,78.17,overcast clouds,4.375,-7.7169,Screensaver
233,Xalpatlahuac,MX,73.08,few clouds,17.4667,-98.6167,Hotel Villareal
234,Faanui,PF,80.89,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
243,Tocache,PE,75.16,light rain,-8.1842,-76.5125,Residencial JATER
244,Broken Hill,AU,72.95,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
246,Port Hedland,AU,80.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
247,East London,ZA,71.74,overcast clouds,-33.0153,27.9116,Tu Casa
249,Acapulco,MX,79.59,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
250,Basco,PH,77.09,broken clouds,20.4487,121.9702,Nathaniel's Lodge
251,Vao,NC,76.82,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
252,Kuching,MY,82.62,few clouds,1.55,110.3333,Hilton Kuching
253,Sao Filipe,CV,72.07,overcast clouds,14.8961,-24.4956,Hotel Xaguate
262,Viransehir,TR,73.98,broken clouds,37.2353,39.7631,Viranşehir Öğretmenevi
263,Acari,PE,72.21,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
264,Madang,PG,76.84,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
265,Bani Walid,LY,73.29,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
266,Lhokseumawe,ID,80.91,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
