City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zeya,RU,53.75,127.2667,28.71,74,52,1.52,broken clouds
1,Ossora,RU,59.2353,163.0719,15.17,88,19,7.43,few clouds
2,Bystryy Istok,RU,52.371,84.3873,61.27,30,100,4.81,overcast clouds
3,Nchelenge,ZM,-9.3451,28.734,77.2,73,18,4.16,light rain
4,Aswan,EG,24.0934,32.907,108.7,6,100,8.05,overcast clouds
5,Hami,CN,42.8,93.45,61.32,13,0,5.12,clear sky
6,Kapaa,US,22.0752,-159.319,70.12,97,17,12.33,moderate rain
7,Shingu,JP,33.7333,135.9833,58.33,89,83,7.56,broken clouds
8,Butaritari,KI,3.0707,172.7902,81.37,75,25,12.19,scattered clouds
9,Ballina,AU,-28.8667,153.5667,65.01,93,75,6.91,broken clouds
10,Kaitangata,NZ,-46.2817,169.8464,44.22,93,4,4.03,clear sky
11,Georgetown,MY,5.4112,100.3354,84.13,83,40,5.01,thunderstorm
12,Atuona,PF,-9.8,-139.0333,79.2,76,59,17.65,broken clouds
13,Finschhafen,PG,-6.6024,147.8681,80.51,84,98,9.4,overcast clouds
14,Nemuro,JP,43.3236,145.575,40.33,86,88,8.86,overcast clouds
15,Mumbwa,ZM,-14.9783,27.0619,78.48,57,50,5.68,scattered clouds
16,Beloha,MG,-25.1667,45.05,78.33,71,53,14.58,broken clouds
17,Albany,US,42.6001,-73.9662,36.91,67,28,15.99,scattered clouds
18,Mahebourg,MU,-20.4081,57.7,79.25,94,75,5.75,broken clouds
19,Adre,TD,13.4667,22.2,96.37,22,92,17.05,overcast clouds
20,Castro,BR,-24.7911,-50.0119,60.42,69,81,5.64,broken clouds
21,Rikitea,PF,-23.1203,-134.9692,77.9,68,6,11.83,clear sky
22,Pimenta Bueno,BR,-11.6725,-61.1936,79.14,79,86,4.74,overcast clouds
23,Inhambane,MZ,-23.865,35.3833,76.98,88,40,5.75,scattered clouds
24,Huayang,CN,34.4155,109.9939,44.15,63,100,5.3,overcast clouds
25,Nantucket,US,41.2835,-70.0995,50.09,74,4,23.71,clear sky
26,Los Cedrales,PY,-25.65,-54.7,70.09,51,38,3.51,scattered clouds
27,Bluff,NZ,-46.6,168.3333,39.79,82,3,6.08,clear sky
28,Sikeston,US,36.8767,-89.5879,46.33,66,75,10.36,light rain
29,Airai,TL,-8.9266,125.4092,61.23,94,100,1.43,overcast clouds
30,Chapais,CA,49.7834,-74.8492,26.38,85,100,14.05,overcast clouds
31,Hobart,AU,-42.8794,147.3294,66.06,72,100,10.36,moderate rain
32,Punta Arenas,CL,-53.15,-70.9167,46.51,87,75,4.61,broken clouds
33,Saint-Philippe,RE,-21.3585,55.7679,82.22,86,35,10.13,light rain
34,Torbay,CA,47.6666,-52.7314,52.29,56,100,11.5,overcast clouds
35,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,61,40,11.5,scattered clouds
36,San Marco In Lamis,IT,41.7131,15.6399,48.72,54,100,19.1,overcast clouds
