City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vestmannaeyjar,IS,2022-04-14 23:20:25,63.4427,-20.2734,47.7,97,100,24.16
1,Upernavik,GL,2022-04-14 23:20:26,72.7868,-56.1549,-12.93,99,37,8.34
2,Ribeira Grande,PT,2022-04-14 23:20:26,38.5167,-28.7,61.2,88,75,23.02
3,Igarka,RU,2022-04-14 23:20:27,67.4667,86.5833,32.29,97,100,17.2
4,Chuy,UY,2022-04-14 23:20:27,-33.6971,-53.4616,54.34,69,0,9.19
5,Igarapava,BR,2022-04-14 23:20:27,-20.0383,-47.7469,76.12,91,25,2.86
6,San Cristobal,VE,2022-04-14 23:20:28,7.7669,-72.225,77.18,66,99,3.0
7,Southbridge,US,2022-04-14 23:20:28,42.0751,-72.0334,64.18,91,100,10.49
8,Yellowknife,CA,2022-04-14 23:17:29,62.456,-114.3525,25.29,59,75,10.36
9,Hamilton,US,2022-04-14 23:15:46,39.1834,-84.5333,60.85,27,20,21.85
10,Castro,BR,2022-04-14 23:20:29,-24.7911,-50.0119,56.98,95,14,5.44
11,Punta Arenas,CL,2022-04-14 23:19:03,-53.15,-70.9167,48.31,71,75,5.75
12,Padang,ID,2022-04-14 23:20:29,-0.9492,100.3543,75.25,87,97,2.46
13,Albany,US,2022-04-14 23:20:11,42.6001,-73.9662,56.59,78,100,1.01
14,Hilo,US,2022-04-14 23:18:43,19.7297,-155.09,83.28,75,75,11.5
15,Provideniya,RU,2022-04-14 23:20:30,64.3833,-173.3,32.36,93,100,11.18
16,Mataura,NZ,2022-04-14 23:20:30,-46.1927,168.8643,55.47,62,4,2.66
17,Rikitea,PF,2022-04-14 23:20:30,-23.1203,-134.9692,78.04,68,22,15.7
18,Dunedin,NZ,2022-04-14 23:20:31,-45.8742,170.5036,60.03,59,0,2.91
19,Coos Bay,US,2022-04-14 23:20:31,43.3665,-124.2179,52.0,72,0,10.36
20,Tiksi,RU,2022-04-14 23:20:31,71.6872,128.8694,-0.42,98,100,8.39
21,Sisak,HR,2022-04-14 23:20:32,45.4661,16.3783,46.38,75,55,3.11
22,Ponta Do Sol,PT,2022-04-14 23:20:19,32.6667,-17.1,64.71,82,31,3.8
23,Ushuaia,AR,2022-04-14 23:17:22,-54.8,-68.3,47.86,57,20,11.5
24,Jamestown,US,2022-04-14 23:20:32,42.097,-79.2353,52.52,31,0,6.91
25,Hithadhoo,MV,2022-04-14 23:20:33,-0.6,73.0833,83.26,71,98,6.44
26,Adrar,MR,2022-04-14 23:20:33,20.5022,-10.0711,74.23,23,0,10.29
27,Port Elizabeth,ZA,2022-04-14 23:20:33,-33.918,25.5701,63.1,94,100,19.57
28,Sur,OM,2022-04-14 23:20:34,22.5667,59.5289,85.53,39,22,11.61
29,Danshui,CN,2022-04-14 23:20:34,22.7984,114.4672,71.71,71,31,7.34
30,Grand Gaube,MU,2022-04-14 23:20:34,-20.0064,57.6608,78.39,76,28,5.99
31,Saint George,US,2022-04-14 23:20:35,37.1041,-113.5841,72.43,11,0,7.0
32,Bengkulu,ID,2022-04-14 23:20:35,-3.8004,102.2655,76.57,87,99,2.1
33,Carnarvon,AU,2022-04-14 23:20:35,-24.8667,113.6333,66.27,72,0,6.91
34,Atuona,PF,2022-04-14 23:20:36,-9.8,-139.0333,78.42,78,53,13.98
35,Nanortalik,GL,2022-04-14 23:20:36,60.1432,-45.2371,32.11,93,44,2.86
36,Cap-Aux-Meules,CA,2022-04-14 23:20:37,47.3821,-61.8597,33.85,86,20,6.91
37,Mahebourg,MU,2022-04-14 23:20:37,-20.4081,57.7,78.26,78,40,10.36
38,Bredasdorp,ZA,2022-04-14 23:20:37,-34.5322,20.0403,56.17,72,48,7.0
39,Shimanovsk,RU,2022-04-14 23:17:14,52.0,127.7,35.94,65,73,5.93
40,Denpasar,ID,2022-04-14 23:18:56,-8.65,115.2167,80.26,83,20,1.14
41,Basco,PH,2022-04-14 23:20:38,20.4487,121.9702,77.07,77,66,22.12
